unit,village,district,rt,rw,depth,report_time,request_time
3171020007006000,PEJATEN TIMUR,PASAR MINGGU,,006,50,2015-11-16 06:00:00,2015-11-16 11:59:59
3171020007008000,PEJATEN TIMUR,PASAR MINGGU,,008,50,2015-11-16 06:00:00,2015-11-16 11:59:59
3171080002001000,RAWAJATI,PANCORAN,,001,100,2015-11-16 06:00:00,2015-11-16 11:59:59
3171080002003000,RAWAJATI,PANCORAN,,003,100,2015-11-16 06:00:00,2015-11-16 11:59:59
3171080002006000,RAWAJATI,PANCORAN,,006,100,2015-11-16 06:00:00,2015-11-16 11:59:59
3171080002007000,RAWAJATI,PANCORAN,,007,100,2015-11-16 06:00:00,2015-11-16 11:59:59
3171090004010000,KEBON BARU,TEBET,,010,20,2015-11-16 06:00:00,2015-11-16 11:59:59
3171090005010000,BUKIT DURI,TEBET,,010,100,2015-11-16 06:00:00,2015-11-16 11:59:59
3171090005011000,BUKIT DURI,TEBET,,011,100,2015-11-16 06:00:00,2015-11-16 11:59:59
3171090005012000,BUKIT DURI,TEBET,,012,100,2015-11-16 06:00:00,2015-11-16 11:59:59
3172010005003000,GEDONG,PASAR REBO,,003,80,2015-11-16 06:00:00,2015-11-16 11:59:59
3172010005011000,GEDONG,PASAR REBO,,011,50,2015-11-16 06:00:00,2015-11-16 11:59:59
3172050006005000,CILILITAN,KRAMAT JATI,,005,80,2015-11-16 06:00:00,2015-11-16 11:59:59
3172050006006000,CILILITAN,KRAMAT JATI,,006,300,2015-11-16 06:00:00,2015-11-16 11:59:59
3172050006007000,CILILITAN,KRAMAT JATI,,007,150,2015-11-16 06:00:00,2015-11-16 11:59:59
3172050006016000,CILILITAN,KRAMAT JATI,,016,80,2015-11-16 06:00:00,2015-11-16 11:59:59
3172050007001000,CAWANG,KRAMAT JATI,,001,50,2015-11-16 06:00:00,2015-11-16 11:59:59
3172050007002000,CAWANG,KRAMAT JATI,,002,50,2015-11-16 06:00:00,2015-11-16 11:59:59
3172050007003000,CAWANG,KRAMAT JATI,,003,80,2015-11-16 06:00:00,2015-11-16 11:59:59
3172050007005000,CAWANG,KRAMAT JATI,,005,50,2015-11-16 06:00:00,2015-11-16 11:59:59
3172050007008000,CAWANG,KRAMAT JATI,,008,50,2015-11-16 06:00:00,2015-11-16 11:59:59
3172050007012000,CAWANG,KRAMAT JATI,,012,50,2015-11-16 06:00:00,2015-11-16 11:59:59
3172060001006000,BIDARA CINA,JATINEGARA,,006,50,2015-11-16 06:00:00,2015-11-16 11:59:59
3172060001007000,BIDARA CINA,JATINEGARA,,007,80,2015-11-16 06:00:00,2015-11-16 11:59:59
3172060001011000,BIDARA CINA,JATINEGARA,,011,60,2015-11-16 06:00:00,2015-11-16 11:59:59
3172060008001000,KAMPUNG MELAYU,JATINEGARA,,001,100,2015-11-16 06:00:00,2015-11-16 11:59:59
3172060008002000,KAMPUNG MELAYU,JATINEGARA,,002,100,2015-11-16 06:00:00,2015-11-16 11:59:59
3172060008003000,KAMPUNG MELAYU,JATINEGARA,,003,150,2015-11-16 06:00:00,2015-11-16 11:59:59
3172060008004000,KAMPUNG MELAYU,JATINEGARA,,004,100,2015-11-16 06:00:00,2015-11-16 11:59:59
3172060008005000,KAMPUNG MELAYU,JATINEGARA,,005,100,2015-11-16 06:00:00,2015-11-16 11:59:59
3172060008007000,KAMPUNG MELAYU,JATINEGARA,,007,100,2015-11-16 06:00:00,2015-11-16 11:59:59
